365
1	-13.7
2	-11.8
3	-10.9
4	-8.3
5	-12
6	-14.4
7	-15.7
8	-16.2
9	-3.1
10	-3.6
11	-13.2
12	-25.3
13	-25.6
14	-30.3
15	-28.7
16	-29.2
17	-23.8
18	-19.7
19	-20.4
20	-15.1
21	-13.1
22	-22.7
23	-24.8
24	-27.8
25	-31.9
26	-31.3
27	-27.6
28	-25.4
29	-22.2
30	-22.6
31	-10.3
32	-11.6
33	-10.2
34	-7.9
35	-17.2
36	-27.7
37	-24
38	-27.6
39	-29.7
40	-26.6
41	-26.3
42	-25.4
43	-34.9
44	-37.6
45	-35.3
46	-31.6
47	-27.9
48	-12.4
49	-6.5
50	-1.3
51	-3.2
52	-9.9
53	-14.3
54	-15.8
55	-12.3
56	-3.8
57	-8.3
58	-2.8
59	-3.5
60	-7.8
61	-23.4
62	-10
63	-3.8
64	-16.6
65	-22.4
66	-15
67	-7.8
68	-22.6
69	-27.6
70	-27.6
71	-30.7
72	-33.9
73	-35.1
74	-31.8
75	-24.3
76	-14.9
77	-10
78	-15.8
79	-19.1
80	-19.7
81	-21.7
82	-22.4
83	-19.2
84	-19.9
85	-12.2
86	-21.3
87	-19.9
88	-20.3
89	-20
90	-19
91	-18.9
92	-21.3
93	-17.3
94	-17.9
95	-22.4
96	-23.4
97	-19.6
98	-18.4
99	-12.4
100	-14.4
101	-13.1
102	-12
103	-13.6
104	-13.2
105	-14.3
106	-17.1
107	-17.3
108	-15.9
109	-14.6
110	-4.6
111	3.5
112	-4.5
113	-2.1
114	0.6
115	-0.3
116	-2.3
117	-6.9
118	-11.2
119	-11.1
120	-8.8
121	-9.1
122	-8
123	1.4
124	1.6
125	-6.9
126	-7.6
127	-7.2
128	4
129	6.3
130	3.9
131	-1.2
132	1.1
133	4.4
134	0.6
135	-0.3
136	8.7
137	8.7
138	11.2
139	13.7
140	8.8
141	9
142	11.3
143	7.7
144	5.4
145	6.8
146	6.7
147	5.6
148	8.8
149	7.1
150	0.4
151	3.4
152	-0.9
153	-0.6
154	0
155	-0.8
156	-1.5
157	1.4
158	3.6
159	7.9
160	9.7
161	8.8
162	10.8
163	2.1
164	7
165	12.4
166	15.9
167	14.2
168	11.3
169	14.8
170	13.9
171	13.9
172	19.4
173	20.3
174	18.1
175	18.2
176	18.4
177	15.6
178	15.3
179	9.9
180	12
181	17.4
182	16.7
183	14
184	15.4
185	11.2
186	12.7
187	15.1
188	19.2
189	10.6
190	5.6
191	5.5
192	5.3
193	4.5
194	4.8
195	6.8
196	8.2
197	6.8
198	11.8
199	11.5
200	14.2
201	10.1
202	8.6
203	12.1
204	9.3
205	5.7
206	6.2
207	7.4
208	6.3
209	6.9
210	5.5
211	4.5
212	6.4
213	12.8
214	8.4
215	12.7
216	13.3
217	10.05
218	10.05
219	10.05
220	10.05
221	6.8
222	7.9
223	2.5
224	2.3
225	7.9
226	10.1
227	10.6
228	7.5
229	2.3
230	2.3
231	2
232	1.6
233	4.2
234	7.6
235	5.5
236	3.9
237	6.8
238	11.2
239	9.5
240	2.4
241	2.8
242	2.6
243	-0.2
244	0
245	3.6
246	3.75
247	3.9
248	3.1
249	3.4
250	5.1
251	2.1
252	0.9
253	-1.6
254	-1
255	0.6
256	0.7
257	1.4
258	0.2
259	0.2
260	-1.4
261	-1.6
262	-3.6
263	-3.6
264	-4.2
265	-3.9
266	-5.4
267	-5.5
268	-4.2
269	-1.7
270	-1.8
271	-4
272	-3.3
273	-5.4
274	-3.6
275	-4.2
276	-0.3
277	3.1
278	0.4
279	-2.8
280	-5.4
281	-9.9
282	-11.2
283	-11
284	-12.1
285	-7
286	-6.3
287	-5.9
288	-5.4
289	-6.1
290	-11.2
291	-11.7
292	-7.6
293	-5.8
294	-8.4
295	-8.3
296	-8.8
297	-9.7
298	-5
299	-2.9
300	-6.5
301	-7.2
302	-10.2
303	-11.9
304	-15.9
305	-18.2
306	-8.9
307	-3
308	-2.5
309	-3.6
310	-4.9
311	-11.2
312	-9.7
313	-8.4
314	-5.2
315	-8.2
316	-11.4
317	-16.7
318	-22.6
319	-25.3
320	-25.3
321	-27.2
322	-28.2
323	-25.1
324	-18.9
325	-20.9
326	-20.3
327	-21.7
328	-18.6
329	-6.5
330	-4.1
331	-8.1
332	-13.2
333	-14.1
334	-15.2
335	-19.4
336	-24.2
337	-29.1
338	-35.1
339	-34.2
340	-35.4
341	-35.8
342	-32.7
343	-28.4
344	-28.3
345	-31.1
346	-30.8
347	-32.9
348	-31.1
349	-28.1
350	-10.9
351	-9.4
352	-11.4
353	-16.8
354	-20.7
355	-20.8
356	-23.7
357	-30.5
358	-32.4
359	-30.2
360	-28.4
361	-18.9
362	-15.3
363	-24.7
364	-22.3
365	-19.6
