day	modified_temperature
1	-13.69945205479452
2	-11.798904109589042
3	-10.898356164383562
4	-8.297808219178084
5	-11.997260273972604
6	-14.396712328767123
7	-15.696164383561642
8	-16.195616438356165
9	-3.095068493150685
10	-3.5945205479452054
11	-13.193972602739725
12	-25.293424657534246
13	-25.592876712328767
14	-30.292328767123287
15	-28.691780821917806
16	-29.191232876712327
17	-23.79068493150685
18	-19.69013698630137
19	-20.38958904109589
20	-15.08904109589041
21	-12.86265251462292
22	-22.19026731715498
23	-23.88726145224388
24	-26.45061947116883
25	-30.258251396363416
26	-29.65770345115794
27	-26.248975635552394
28	-24.48452172621648
29	-21.686431700716625
30	-22.58356164383562
31	-10.283013698630137
32	-11.582465753424657
33	-10.181917808219177
34	-7.881369863013699
35	-17.180821917808217
36	-27.680273972602738
37	-23.97972602739726
38	-27.57917808219178
39	-29.6786301369863
40	-26.578082191780823
41	-26.277534246575343
42	-25.37698630136986
43	-34.876438356164385
44	-37.575890410958905
45	-35.275342465753425
46	-31.574794520547947
47	-27.874246575342465
48	-12.373698630136987
49	-6.473150684931507
50	-1.2726027397260276
51	-3.172054794520548
52	-9.871506849315068
53	-14.27095890410959
54	-15.77041095890411
55	-12.26986301369863
56	-3.7693150684931505
57	-8.268767123287672
58	-2.7682191780821914
59	-3.4676712328767123
60	-7.767123287671232
61	-23.36657534246575
62	-9.966027397260273
63	-3.7654794520547945
64	-16.564931506849316
65	-22.364383561643834
66	-14.963835616438356
67	-7.763287671232876
68	-22.5627397260274
69	-27.56219178082192
70	-27.56164383561644
71	-30.66109589041096
72	-33.860547945205475
73	-35.06
74	-31.759452054794522
75	-24.258904109589043
76	-14.858356164383562
77	-9.957808219178082
78	-15.757260273972603
79	-19.056712328767123
80	-19.65616438356164
81	-21.655616438356162
82	-22.355068493150682
83	-19.154520547945204
84	-19.853972602739724
85	-12.153424657534245
86	-21.252876712328767
87	-19.852328767123286
88	-20.25178082191781
89	-19.95123287671233
90	-18.95068493150685
91	-18.85013698630137
92	-21.24958904109589
93	-17.249041095890412
94	-17.84849315068493
95	-22.34794520547945
96	-23.347397260273972
97	-19.546849315068496
98	-18.346301369863014
99	-12.345753424657534
100	-14.345205479452055
101	-13.044657534246575
102	-11.944109589041096
103	-13.543561643835616
104	-13.143013698630137
105	-14.242465753424659
106	-17.04191780821918
107	-17.2413698630137
108	-15.840821917808219
109	-14.540273972602739
110	-4.5397260273972595
111	3.560821917808219
112	-4.438630136986301
113	-2.038082191780822
114	0.6624657534246575
115	-0.236986301369863
116	-2.2364383561643835
117	-6.835890410958904
118	-11.135342465753425
119	-11.034794520547944
120	-8.734246575342466
121	-9.033698630136985
122	-7.9331506849315065
123	1.4673972602739724
124	1.6679452054794521
125	-6.831506849315069
126	-7.530958904109589
127	-7.130410958904109
128	4.07013698630137
129	6.370684931506849
130	3.9712328767123286
131	-1.1282191780821917
132	1.1723287671232878
133	4.472876712328768
134	0.6734246575342465
135	-0.22602739726027396
136	8.774520547945205
137	8.775068493150684
138	11.275616438356163
139	13.776164383561643
140	8.876712328767123
141	9.077260273972604
142	11.377808219178084
143	7.7783561643835615
144	5.478904109589042
145	6.879452054794521
146	6.78
147	5.680547945205479
148	8.88109589041096
149	7.181643835616438
150	0.4821917808219178
151	3.4827397260273973
152	-0.8167123287671233
153	-0.5161643835616438
154	0.0843835616438356
155	-0.715068493150685
156	-1.4145205479452054
157	1.4860273972602738
158	3.6865753424657535
159	7.987123287671233
160	9.787671232876711
161	8.888219178082192
162	10.888767123287671
163	2.189315068493151
164	7.08986301369863
165	12.49041095890411
166	15.99095890410959
167	14.291506849315068
168	11.392054794520549
169	14.892602739726028
170	13.993150684931507
171	13.993698630136986
172	19.494246575342466
173	20.394794520547947
174	18.195342465753427
175	18.295890410958904
176	18.496438356164383
177	15.696986301369863
178	15.397534246575344
179	9.998082191780822
180	12.098630136986301
181	17.49917808219178
182	16.79972602739726
183	14.10027397260274
184	15.500821917808219
185	11.301369863013697
186	12.801917808219178
187	15.202465753424658
188	19.303013698630135
189	10.703561643835616
190	5.704109589041096
191	5.604657534246575
192	5.4052054794520545
193	4.605753424657534
194	4.906301369863013
195	6.906849315068493
196	8.307397260273971
197	6.907945205479452
198	11.908493150684933
199	11.609041095890412
200	14.30958904109589
201	10.21013698630137
202	8.710684931506849
203	12.211232876712328
204	9.411780821917809
205	5.8123287671232875
206	6.312876712328768
207	7.513424657534247
208	6.413972602739726
209	7.014520547945206
210	5.615068493150685
211	4.615616438356164
212	6.5161643835616445
213	12.916712328767124
214	8.517260273972603
215	13.046372370720146
216	13.821730199740939
217	10.816480678680545
218	11.115161389690275
219	11.426341158929361
220	11.688789459950018
221	8.590100360789751
222	9.690648305995232
223	4.140433295566455
224	3.679080884956759
225	8.968997006128632
226	10.87141218552986
227	11.127757597001212
228	7.624931506849315
229	2.425479452054794
230	2.426027397260274
231	2.1265753424657534
232	1.727123287671233
233	4.327671232876712
234	7.728219178082192
235	5.6287671232876715
236	4.02931506849315
237	6.92986301369863
238	11.330410958904109
239	9.630958904109589
240	2.5315068493150683
241	2.932054794520548
242	2.7326027397260275
243	-0.06684931506849318
244	0.1336986301369863
245	3.734246575342466
246	3.884794520547945
247	4.035342465753424
248	3.235890410958904
249	3.5364383561643833
250	5.236986301369862
251	2.2375342465753425
252	1.0380821917808218
253	-1.4613698630136986
254	-0.8608219178082192
255	0.7397260273972602
256	0.8402739726027397
257	1.540821917808219
258	0.34136986301369865
259	0.34191780821917805
260	-1.2575342465753423
261	-1.4569863013698632
262	-3.4564383561643837
263	-3.4558904109589044
264	-4.055342465753425
265	-3.754794520547945
266	-5.254246575342466
267	-5.353698630136987
268	-4.053150684931507
269	-1.5526027397260274
270	-1.652054794520548
271	-3.8515068493150686
272	-3.1509589041095887
273	-5.25041095890411
274	-3.4498630136986304
275	-4.049315068493151
276	-0.14876712328767122
277	3.251780821917808
278	0.5523287671232877
279	-2.6471232876712327
280	-5.2465753424657535
281	-9.746027397260274
282	-11.045479452054794
283	-10.844931506849315
284	-11.944383561643836
285	-6.843835616438356
286	-6.143287671232876
287	-5.742739726027398
288	-5.242191780821918
289	-5.941643835616438
290	-11.041095890410958
291	-11.540547945205478
292	-7.4399999999999995
