day	modified_temperature
1	-13.69972602739726
2	-11.799452054794521
3	-10.899178082191781
4	-8.298904109589042
5	-11.998630136986302
6	-14.398356164383562
7	-15.698082191780822
8	-16.197808219178082
9	-3.0975342465753424
10	-3.5972602739726027
11	-13.196986301369863
12	-25.296712328767125
13	-25.596438356164384
14	-30.296164383561646
15	-28.695890410958903
16	-29.195616438356165
17	-23.795342465753425
18	-19.695068493150686
19	-20.394794520547944
20	-15.094520547945205
21	-12.868405939280454
22	-22.196294714415256
23	-23.893562822106894
24	-26.457194813634583
25	-30.26510071143191
26	-29.66482673882917
27	-26.256372895826367
28	-24.49219295909319
29	-21.694376906196077
30	-22.59178082191781
31	-10.29150684931507
32	-11.59123287671233
33	-10.19095890410959
34	-7.89068493150685
35	-17.19041095890411
36	-27.69013698630137
37	-23.98986301369863
38	-27.58958904109589
39	-29.68931506849315
40	-26.589041095890412
41	-26.288767123287673
42	-25.38849315068493
43	-34.88821917808219
44	-37.58794520547946
45	-35.28767123287671
46	-31.587397260273974
47	-27.88712328767123
48	-12.386849315068494
49	-6.486575342465754
50	-1.2863013698630137
51	-3.186027397260274
52	-9.885753424657535
53	-14.285479452054796
54	-15.785205479452056
55	-12.284931506849317
56	-3.784657534246575
57	-8.284383561643835
58	-2.784109589041096
59	-3.4838356164383564
60	-7.7835616438356166
61	-23.383287671232875
62	-9.983013698630137
63	-3.782739726027397
64	-16.58246575342466
65	-22.382191780821916
66	-14.981917808219178
67	-7.781643835616438
68	-22.5813698630137
69	-27.58109589041096
70	-27.58082191780822
71	-30.68054794520548
72	-33.88027397260274
73	-35.08
74	-31.77972602739726
75	-24.279452054794522
76	-14.879178082191782
77	-9.978904109589042
78	-15.778630136986303
79	-19.078356164383564
80	-19.67808219178082
81	-21.677808219178083
82	-22.37753424657534
83	-19.177260273972603
84	-19.87698630136986
85	-12.176712328767122
86	-21.276438356164384
87	-19.876164383561644
88	-20.275890410958905
89	-19.975616438356166
90	-18.975342465753425
91	-18.875068493150682
92	-21.274794520547946
93	-17.274520547945205
94	-17.874246575342465
95	-22.373972602739723
96	-23.373698630136985
97	-19.573424657534247
98	-18.373150684931506
99	-12.372876712328768
100	-14.372602739726029
101	-13.072328767123288
102	-11.972054794520547
103	-13.571780821917807
104	-13.171506849315067
105	-14.271232876712329
106	-17.07095890410959
107	-17.27068493150685
108	-15.87041095890411
109	-14.57013698630137
110	-4.56986301369863
111	3.5304109589041097
112	-4.469315068493151
113	-2.069041095890411
114	0.6312328767123287
115	-0.2684931506849315
116	-2.2682191780821914
117	-6.867945205479453
118	-11.167671232876712
119	-11.067397260273973
120	-8.767123287671234
121	-9.066849315068493
122	-7.966575342465753
123	1.4336986301369863
124	1.633972602739726
125	-6.865753424657535
126	-7.565479452054794
127	-7.165205479452055
128	4.035068493150685
129	6.335342465753424
130	3.9356164383561643
131	-1.1641095890410957
132	1.136164383561644
133	4.436438356164384
134	0.6367123287671232
135	-0.26301369863013696
136	8.737260273972602
137	8.737534246575342
138	11.237808219178081
139	13.738082191780821
140	8.838356164383562
141	9.038630136986301
142	11.338904109589041
143	7.739178082191781
144	5.439452054794521
145	6.83972602739726
146	6.74
147	5.640273972602739
148	8.840547945205481
149	7.140821917808219
150	0.4410958904109589
151	3.4413698630136986
152	-0.8583561643835617
153	-0.5580821917808219
154	0.0421917808219178
155	-0.7575342465753425
156	-1.4572602739726028
157	1.443013698630137
158	3.643287671232877
159	7.943561643835617
160	9.743835616438355
161	8.844109589041096
162	10.844383561643836
163	2.1446575342465755
164	7.0449315068493155
165	12.445205479452055
166	15.945479452054794
167	14.245753424657533
168	11.346027397260274
169	14.846301369863014
170	13.946575342465755
171	13.946849315068494
172	19.447123287671232
173	20.347397260273972
174	18.147671232876714
175	18.24794520547945
176	18.44821917808219
177	15.648493150684931
178	15.348767123287672
179	9.949041095890411
180	12.04931506849315
181	17.44958904109589
182	16.74986301369863
183	14.05013698630137
184	15.45041095890411
185	11.250684931506848
186	12.750958904109588
187	15.151232876712328
188	19.251506849315067
189	10.651780821917807
190	5.652054794520548
191	5.552328767123288
192	5.352602739726027
193	4.552876712328767
194	4.8531506849315065
195	6.853424657534246
196	8.253698630136986
197	6.853972602739725
198	11.854246575342467
199	11.554520547945206
200	14.254794520547945
201	10.155068493150685
202	8.655342465753424
203	12.155616438356164
204	9.355890410958905
205	5.756164383561644
206	6.2564383561643835
207	7.456712328767123
208	6.356986301369862
209	6.9572602739726035
210	5.557534246575343
211	4.557808219178082
212	6.458082191780822
213	12.858356164383562
214	8.4586301369863
215	12.987468261131106
216	13.76255211754916
217	10.757028623886026
218	11.055435362293016
219	11.366341158929362
220	11.628515487347277
221	8.529552415584273
