365
1	0.43
2	0.43
3	0.43
4	0.43
5	0.41
6	0.41
7	0.41
8	0.41
9	0.41
10	0.41
11	0.41
12	0.41
13	0.41
14	0.38
15	0.41
16	0.41
17	0.43
18	0.43
19	0.48
20	0.48
21	0.50
22	0.48
23	0.48
24	0.46
25	0.43
26	0.41
27	0.41
28	0.48
29	0.46
30	0.46
31	0.43
32	0.41
33	0.41
34	0.41
35	0.41
36	0.41
37	0.41
38	0.41
39	0.41
40	0.41
41	0.41
42	0.41
43	0.41
44	0.41
45	0.41
46	0.46
47	0.46
48	0.46
49	0.41
50	0.00
51	0.41
52	0.41
53	0.41
54	0.41
55	0.41
56	0.41
57	0.41
58	0.41
59	0.48
60	0.38
61	0.41
62	0.41
63	0.41
64	0.41
65	0.41
66	0.41
67	0.41
68	0.41
69	0.41
70	0.41
71	0.41
72	0.41
73	0.41
74	0.41
75	0.41
76	0.41
77	0.41
78	0.41
79	0.41
80	0.38
81	0.41
82	0.41
83	0.43
84	0.41
85	0.43
86	0.41
87	0.41
88	0.43
89	0.43
90	0.43
91	0.43
92	0.43
93	0.43
94	0.46
95	0.46
96	0.46
97	0.46
98	0.50
99	0.50
100	0.50
101	0.50
102	0.50
103	0.50
104	0.50
105	0.50
106	0.50
107	0.50
108	0.50
109	0.50
110	0.50
111	0.50
112	0.50
113	0.50
114	0.50
115	0.50
116	0.50
117	0.50
118	0.50
119	0.50
120	0.50
121	0.50
122	0.50
123	0.00
124	0.00
125	0.00
126	0.00
127	0.00
128	0.00
129	0.00
130	0.00
131	0.00
132	0.00
133	0.00
134	0.00
135	0.00
136	0.00
137	0.00
138	0.00
139	0.00
140	0.00
141	0.00
142	0.00
143	0.00
144	0.00
145	0.00
146	0.00
147	0.00
148	0.00
149	0.00
150	0.00
151	0.00
152	0.00
153	0.00
154	0.00
155	0.00
156	0.00
157	0.00
158	0.00
159	0.00
160	0.00
161	0.00
162	0.00
163	0.00
164	0.00
165	0.00
166	0.00
167	0.00
168	0.00
169	0.00
170	0.00
171	0.00
172	0.00
173	0.00
174	0.00
175	0.00
176	0.00
177	0.00
178	0.00
179	0.00
180	0.00
181	0.00
182	0.00
183	0.00
184	0.00
185	0.00
186	0.00
187	0.00
188	0.00
189	0.00
190	0.00
191	0.00
192	0.00
193	0.00
194	0.00
195	0.00
196	0.00
197	0.00
198	0.00
199	0.00
200	0.00
201	0.00
202	0.00
203	0.00
204	0.00
205	0.00
206	0.00
207	0.00
208	0.00
209	0.00
210	0.00
211	0.00
212	0.00
213	0.00
214	0.00
215	0.00
216	0.00
217	0.00
218	0.00
219	0.00
220	0.00
221	0.00
222	0.00
223	0.00
224	0.00
225	0.00
226	0.00
227	0.00
228	0.00
229	0.00
230	0.00
231	0.00
232	0.00
233	0.00
234	0.00
235	0.00
236	0.00
237	0.00
238	0.00
239	0.00
240	0.00
241	0.00
242	0.00
243	0.00
244	0.00
245	0.00
246	0.00
247	0.00
248	0.00
249	0.00
250	0.00
251	0.00
252	0.00
253	0.00
254	0.00
255	0.00
256	0.00
257	0.00
258	0.00
259	0.00
260	0.00
261	0.00
262	0.00
263	0.00
264	0.00
265	0.00
266	0.00
267	0.00
268	0.00
269	0.00
270	0.00
271	0.00
272	0.00
273	0.00
274	0.00
275	0.00
276	0.00
277	0.00
278	0.00
279	0.38
280	0.38
281	0.36
282	0.28
283	0.36
284	0.33
285	0.38
286	0.38
287	0.38
288	0.38
289	0.38
290	0.38
291	0.38
292	0.38
293	0.36
294	0.36
295	0.36
296	0.36
297	0.36
298	0.41
299	0.41
300	0.41
301	0.41
302	0.41
303	0.41
304	0.41
305	0.41
306	0.43
307	0.43
308	0.41
309	0.41
310	0.41
311	0.41
312	0.41
313	0.41
314	0.41
315	0.41
316	0.41
317	0.41
318	0.41
319	0.41
320	0.41
321	0.41
322	0.41
323	0.43
324	0.43
325	0.43
326	0.46
327	0.46
328	0.46
329	0.43
330	0.41
331	0.46
332	0.38
333	0.38
334	0.38
335	0.38
336	0.36
337	0.36
338	0.36
339	0.36
340	0.36
341	0.36
342	0.36
343	0.36
344	0.36
345	0.36
346	0.33
347	0.36
348	0.36
349	0.36
350	0.38
351	0.38
352	0.38
353	0.41
354	0.41
355	0.41
356	0.41
357	0.41
358	0.41
359	0.46
360	0.46
361	0.46
362	0.46
363	0.46
364	0.46
365	0.50
